,id,version,set_num
0,1,1,7922-1
1,3,1,3931-1
2,4,1,6942-1
3,15,1,5158-1
4,16,1,903-1
5,17,1,850950-1
6,19,1,4444-1
7,21,1,3474-1
8,22,1,30277-1
9,25,1,71012-11
10,26,1,6435-1
11,27,1,3055-1
12,28,1,7899-1
13,30,1,40107-1
14,31,1,14-4
15,33,1,6356-1
16,34,1,71017-20
17,35,1,5004559-1
18,36,1,1756-1
19,37,1,8931-1
20,38,1,9385-1
21,39,1,66512-1
22,40,1,6963-1
23,42,1,850760-1
24,43,1,2000424-1
25,45,1,40109-1
26,49,1,10071-1
27,50,1,K4520-1
28,52,1,6378-1
29,54,1,4284-1
30,55,1,6711-1
31,56,1,4768-2
32,58,1,75060-1
33,60,1,1390-1
34,61,1,10128-1
35,62,1,30300-1
36,63,1,6981-1
37,64,1,6424-1
38,65,1,5920-1
39,67,1,6577-1
40,68,1,8103-1
41,69,1,2850829-1
42,70,1,483-5
43,71,1,K7690-1
44,73,1,70812-1
45,74,1,6913-1
46,76,1,10189-1
47,80,1,5827-1
48,81,1,65340-1
49,82,1,4309-1
50,83,1,4888-1
51,84,1,6909-1
52,86,1,525-1
53,87,1,5001925-1
54,88,1,6455-1
55,89,1,75094-1
56,91,1,9483-1
57,92,1,6386-1
58,94,1,8108-1
59,96,1,10008-1
60,98,1,2856226-1
61,100,1,71217-1
62,101,1,8302-1
63,102,1,8803-5
64,103,1,4411-1
65,104,1,K4103-1
66,105,1,6579-1
67,106,1,71007-6
68,110,1,657-1
69,111,1,991451-1
70,112,1,4748-1
71,113,1,3027-1
72,115,1,6167-1
73,116,1,561508-1
74,118,1,4449-1
75,119,1,323-1
76,122,1,66177-1
77,123,1,41135-1
78,125,1,2158-1
79,126,1,970654-1
80,127,1,2156-1
81,128,1,4094-1
82,131,1,66358-1
83,132,1,6523-1
84,136,1,8223-1
85,137,1,30301-1
86,140,1,508-1
87,142,1,3420-1
88,143,1,7138-1
89,145,1,41562-1
90,147,1,1141-1
91,148,1,76008-1
92,151,1,7048-1
93,152,1,76015-1
94,153,1,60018-1
95,154,1,3859-1
96,155,1,10175-1
97,158,1,702-3
98,159,1,7740-1
99,162,1,5645-1
100,163,1,30314-1
101,164,1,238-1
102,165,1,2852724-1
103,166,1,6745-1
104,168,1,1701-1
105,170,1,8831-0
106,171,1,610-1
107,172,1,8678-1
108,173,1,41065-1
109,174,1,30286-1
110,175,1,8622-1
111,177,1,8121-1
112,179,1,1413-1
113,180,1,7511-1
114,182,1,8833-7
115,183,1,435-1
116,186,1,60134-1
117,187,1,9749-1
118,188,1,21206-1
119,191,1,4559387-1
120,192,1,5831-1
121,194,1,COMCON017-1
122,197,1,9871-1
123,198,1,21017-1
124,199,1,70209-1
125,203,1,Austin-1
126,204,1,20205-1
127,206,1,5974-1
128,207,1,40092-1
129,208,1,342-1
130,209,1,970600-1
131,210,1,6395-1
132,211,1,1136-1
133,212,1,6585-1
134,214,1,3715-1
135,215,1,7875-1
136,216,1,1089-1
137,217,1,6328-1
138,218,1,60034-1
139,220,1,2848-1
140,221,1,1248-1
141,222,1,8240-1
142,224,1,71017-1
143,225,1,5391-1
144,226,1,391412-1
145,229,1,1966-1
146,232,1,2152-1
147,233,1,30281-1
148,234,1,75046-1
149,236,1,40080-1
150,238,1,6695-1
151,239,1,21114-1
152,240,1,1821-1
153,242,1,6118-1
154,243,1,71220-1
155,245,1,7662-1
156,246,1,4098-1
157,248,1,20019-1
158,250,1,5808-1
159,251,1,3886-3
160,254,1,8812-1
161,256,1,630-1
162,258,1,8683-4
163,259,1,70137-1
164,262,1,7953-1
165,263,1,7575-1
166,265,1,NUREMBERG-1
167,267,1,40204-1
168,268,1,6007-1
169,269,1,60067-1
170,272,1,10528-1
171,274,1,31-2
172,275,1,4426075-1
173,276,1,8684-3
174,279,1,21008-1
175,280,1,9614-1
176,282,1,850935-1
177,284,1,588-1
178,285,1,851003-1
179,293,1,4696-1
180,294,1,71005-4
181,295,1,lfv2-1
182,297,1,10700-1
183,299,1,71236-1
184,300,1,3482-1
185,301,1,1462-1
186,302,1,75033-1
187,303,1,6825-1
188,304,1,6687-1
189,305,1,6299-1
190,307,1,3746-1
191,308,1,4653-1
192,309,1,K4515-1
193,310,1,5036-1
194,311,1,10201-1
195,312,1,2250-1
196,313,1,7885-1
197,315,1,816-1
198,316,1,20208-1
199,317,1,9-2
200,319,1,6479-1
201,321,1,3641-1
202,322,1,221-2
203,323,1,8010-1
204,324,1,39-1
205,325,1,3300014-1
206,326,1,1294-1
207,327,1,7216-1
208,328,1,4416-1
209,330,1,10222-1
210,331,1,954-1
211,332,1,4758-1
212,333,1,813-1
213,334,1,71011-9
214,335,1,659-1
215,336,1,10680-1
216,337,1,1499-1
217,338,1,8942-2
218,345,1,40021-1
219,347,1,911618-1
220,348,1,7165-1
221,349,1,9462-1
222,350,1,6989-1
223,353,1,5105-1
224,354,1,7315-1
225,355,1,4281-1
226,356,1,970630-1
227,357,1,9553-1
228,358,1,42036-1
229,361,1,970617-1
230,362,1,8649-1
231,363,1,837-1
232,364,1,1419-1
233,369,1,71005-15
234,371,1,8593-1
235,372,1,3833-1
236,373,1,6734-1
237,374,1,6470-1
238,375,1,40082-1
239,376,1,315-2
240,377,1,851210-1
241,378,1,71001-8
242,379,1,3451-1
243,380,1,9853-1
244,382,1,5877-1
245,384,1,9825-1
246,385,1,6685-1
247,388,1,727-1
248,389,1,6758-1
249,390,1,4576-1
250,392,1,7219-1
251,393,1,9222-1
252,394,1,4551-1
253,395,1,7888-1
254,397,1,71014-15
255,398,1,71010-17
256,401,1,40195-1
257,402,1,114-2
258,403,1,76050-1
259,405,1,970663-1
260,406,1,8738-1
261,407,1,9857-1
262,409,1,76036-1
263,410,1,3494-1
264,411,1,6678-1
265,412,1,70005-1
266,415,1,MS1032-1
267,416,1,1690-1
268,419,1,7172-1
269,422,1,6472-1
270,423,1,60096-1
271,424,1,710-6
272,427,1,7957-1
273,429,1,2027-1
274,431,1,70707-1
275,432,1,60139-1
276,433,1,8083-1
277,434,1,70600-1
278,436,1,6969-1
279,437,1,60069-1
280,438,1,561511-1
281,440,1,852737-1
282,441,1,6247-1
283,442,1,5967-1
284,443,1,30190-1
285,444,1,60002-1
286,445,1,102A-1
287,446,1,6890-1
288,447,1,60144-1
289,448,1,8369-1
290,451,1,5166-1
291,452,1,1807-1
292,454,1,6212-1
293,457,1,75127-1
294,459,1,9089-1
295,460,1,LLCA52-1
296,461,1,310-5
297,465,1,6077-2
298,466,1,507-1
299,467,1,6928-1
300,468,1,79104-3
301,470,1,310-3
302,472,1,5925-1
303,473,1,65813-1
304,474,1,813-2
305,475,1,400-1
306,477,1,9677-1
307,479,1,1796-1
308,480,1,8028-1
309,481,1,70786-1
310,482,1,6038-1
311,483,1,455-1
312,484,1,5766-1
313,485,1,750-1
314,486,1,3920-1
315,488,1,685-1
316,489,1,4618-1
317,491,1,6404-1
318,492,1,312-4
319,496,1,K34434-1
320,497,1,42002-1
321,498,1,6522-1
322,499,1,167-1
323,500,1,5001307-1
324,502,1,40081-4
325,503,1,4591715-1
326,504,1,9831-1
327,505,1,10228-1
328,506,1,8898-1
329,508,1,292-1
330,511,1,4867-1
331,512,1,8398-1
332,515,1,KT105-1
333,516,1,329-1
334,517,1,4451-1
335,518,1,6573-1
336,521,1,6162-1
337,523,1,8039-1
338,525,1,VP-12
339,526,1,7271-1
340,528,1,1997-1
341,531,1,214.6-1
342,532,1,7111-1
343,533,1,B002-1
344,534,1,851005-1
345,537,1,700.B.2-1
346,539,1,9731-1
347,540,1,4939-1
348,541,1,10737-1
349,542,1,5082-1
350,544,1,10725-1
351,545,1,4610-1
352,546,1,41567-1
353,547,1,71012-2
354,549,1,3040-1
355,550,1,5402-1
356,551,1,4063-1
357,552,1,5284-1
358,554,1,7606-1
359,556,1,911508-1
360,557,1,3409-1
361,558,1,21120-1
362,560,1,5002045-1
363,561,1,K4516-1
364,565,1,337-1
365,566,1,245-1
366,567,1,70140-1
367,570,1,9393-1
368,571,1,7870-1
369,575,1,5621-1
370,576,1,71001-4
371,577,1,6860-1
372,578,1,5490-1
373,579,1,4277206-1
374,580,1,K3409-1
375,581,1,70794-1
376,582,1,3447-1
377,583,1,6058324-1
378,586,1,30121-1
379,587,1,6731-1
380,589,1,71004-6
381,590,1,70206-1
382,591,1,75074-1
383,592,1,10059-1
384,593,1,4857-1
385,594,1,8903-1
386,595,1,4103-2
387,597,1,45303-1
388,599,1,9678-1
389,601,1,6361-1
390,603,1,30071-1
391,604,1,4876-1
392,605,1,71247-1
393,607,1,B003-1
394,608,1,9826-1
395,609,1,5276-1
396,610,1,1610-1
397,612,1,445062-1
398,613,1,30229-1
399,614,1,66444-1
400,618,1,6389-1
401,620,1,10679-1
402,621,1,75059-1
403,622,1,70319-1
404,623,1,4541-1
405,624,1,6750-1
406,625,1,40005-1
407,627,1,4905-1
408,629,1,852997-1
409,630,1,5318-1
410,631,1,851441-1
411,635,1,915-1
412,637,1,7256-1
413,639,1,8785483-1
414,640,1,1554-1
415,641,1,4210-1
416,646,1,3225-1
417,647,1,2263-1
418,653,1,71010-2
419,654,1,8601-2
420,655,1,41071-1
421,656,1,44025-1
422,658,1,9883-1
423,659,1,3383-1
424,660,1,4059-1
425,661,1,8652-1
426,662,1,7170-2
427,663,1,10048-1
428,667,1,9868-1
429,668,1,4613985-1
430,671,1,TRUNINJAGO-1
431,673,1,3671-1
432,674,1,706-1
433,676,1,30106-1
434,678,1,485-2
435,680,1,608-2
436,681,1,60116-1
437,682,1,8533-1
438,686,1,8693-1
439,687,1,75041-1
440,688,1,1247-2
441,690,1,445-2
442,691,1,3752-1
443,692,1,8448-1
444,694,1,700.C-1
445,695,1,65514-1
446,696,1,2856238-1
447,697,1,4586940-1
448,698,1,870-1
449,699,1,850998-1
450,701,1,75100-1
451,702,1,1118-1
452,703,1,75912-1
453,705,1,733-1
454,707,1,7856-1
455,708,1,65071-1
456,710,1,6637-1
457,712,1,7881-1
458,716,1,418-2
459,718,1,1239-2
460,722,1,30255-1
461,723,1,711-1
462,725,1,9940-1
463,728,1,6886-1
464,731,1,6737-1
465,732,1,8609-1
466,734,1,60017-1
467,735,1,4485-1
468,736,1,60099-1
469,737,1,852747-1
470,738,1,7920-1
471,740,1,70401-1
472,741,1,619-1
473,742,1,5887-1
474,745,1,8706-1
475,747,1,5961-1
476,751,1,6621-1
477,752,1,60143-1
478,753,1,70106-1
479,754,1,3815-1
480,755,1,2516-1
481,756,1,852769-1
482,758,1,WWGP-1
483,760,1,1915-1
484,761,1,808-1
485,762,1,7838-1
486,763,1,7235-2
487,764,1,8956-1
488,766,1,7958-1
489,768,1,5086-1
490,769,1,4659612-1
491,771,1,7906-1
492,772,1,5115-1
493,773,1,7035-1
494,774,1,6380-1
495,775,1,1521-1
496,776,1,6313-1
497,777,1,7623-1
498,779,1,5370a-1
499,780,1,4477-1
500,782,1,920-2
501,783,1,8113-1
502,786,1,30016-1
503,788,1,7654-1
504,789,1,5616-1
505,791,1,4818-1
506,792,1,1102-1
507,793,1,9002052-1
508,794,1,8501-1
509,795,1,8270-1
510,796,1,6042-1
511,799,1,487-1
512,800,1,4019-1
513,801,1,7593-1
514,802,1,215-2
515,803,1,8680-1
516,804,1,210-2
517,805,1,6320-1
518,807,1,1877-1
519,808,1,6895-1
520,811,1,6471-1
521,814,1,6718-1
522,815,1,7003-1
523,818,1,1561-2
524,819,1,COMCON025-1
525,820,1,9699-1
526,826,1,811-2
527,827,1,8805-13
528,829,1,991333-1
529,830,1,5001160-1
530,831,1,75131-1
531,832,1,60014-1
532,833,1,7635-1
533,835,1,3565-1
534,838,1,4402-1
535,839,1,1869-1
536,840,1,71002-12
537,841,1,2617-1
538,842,1,1271-2
539,845,1,60123-1
540,846,1,9963-1
541,847,1,41519-1
542,848,1,6280-1
543,850,1,10747-1
544,852,1,561409-1
545,854,1,1777-1
546,856,1,71013-6
547,859,1,1067-1
548,860,1,76004-1
549,861,1,7587-1
550,862,1,41514-1
551,865,1,4496-2
552,866,1,7344-1
553,867,1,7509-1
554,869,1,5104-1
555,870,1,2847-1
556,871,1,280-1
557,874,1,704-4
558,875,1,5000063-1
559,879,1,4735-1
560,881,1,6746-1
561,882,1,402-3
562,883,1,76071-1
563,885,1,311-1
564,887,1,40208-1
565,888,1,3492-1
566,889,1,66432-1
567,891,1,970670-1
568,893,1,3-4
569,894,1,9610-1
570,896,1,45503-1
571,898,1,WEETABIX3-1
572,899,1,3304-1
573,903,1,1650-1
574,906,1,8105-1
575,907,1,1808-1
576,908,1,K7035-1
577,909,1,1507-1
578,911,1,30378-1
579,913,1,10524-1
580,915,1,891502-1
581,916,1,5004552-1
582,918,1,853195-1
583,919,1,850656-1
584,920,1,5001136-1
585,924,1,1611-1
586,926,1,1297-1
587,927,1,6572-1
588,928,1,6561-1
589,929,1,4490-1
590,930,1,853476-1
591,931,1,10017-1
592,932,1,6647-1
593,934,1,4944-1
594,935,1,5862-1
595,937,1,70231-1
596,941,1,852741-1
597,943,1,852985-1
598,944,1,655-1
599,946,1,8104-1
600,948,1,10582-1
601,950,1,8006-1
602,951,1,8008-1
603,952,1,7937-1
604,953,1,40181-1
605,954,1,8112-1
606,955,1,10705-1
607,956,1,21205-1
608,957,1,501-3
609,962,1,66258-1
610,964,1,7569-1
611,966,1,9481-1
612,968,1,MAY2013-1
613,970,1,9095-1
614,972,1,8583-1
615,973,1,K8882-1
616,974,1,3834-1
617,976,1,8284-1
618,977,1,1130-1
619,978,1,1213-2
620,980,1,60061-1
621,981,1,1306-1
622,982,1,4780-1
623,984,1,44008-1
624,985,1,8144-1
