,Set ID,Set Number,Set Name,Release Year,Theme,Subtheme,Number of Pieces,Brickset Rating
440,22988,60059,Logging Truck,2014,City,Great Vehicles,228,4.1
525,26410,60147,Fishing Boat,2017,City,Great Vehicles,144,3.9
84,8546,4644,Marina,2011,City,Harbour,294,3.7
238,9149,9455,Fangpyre Mech,2012,Ninjago,Rise of the Snakes,255,3.8
996,30706,71741,NINJAGO City Gardens,2021,Ninjago,Legacy,5685,4.6
1172,28339,891842,Kai,2018,Ninjago,Magazine Gift,8,4.2
21,8297,2263,Turbo Shredder,2011,Ninjago,Pilot Season,298,3.7
121,8827,7237,Police Station,2006,City,Police,589,3.9
591,28396,60217,Fire Plane,2019,City,Fire,363,3.7
1301,24588,DRWU,Dr. Wu,2015,Jurassic World,,5,3.9
251,8863,9563,Kendo Zane,2012,Ninjago,Spinners,22,3.4
492,24681,60114,Race Boat,2016,City,Great Vehicles,95,3.8
1131,24352,891501,Kai,2015,Ninjago,Magazine Gift,4,3.3
963,29427,71701,Kai's Fire Dragon,2020,Ninjago,Legacy,81,3.3
877,27423,70640,S.O.G. Headquarters,2018,Ninjago,Sons of Garmadon,530,3.6
997,30843,71742,Overlord Dragon,2021,Ninjago,Legacy,372,4.3
944,24214,70740,Airjitzu Jay Flyer,2015,Ninjago,Airjitzu,45,3.9
890,27781,70654,Dieselnaut,2018,Ninjago,Hunted,1179,4.3
1016,31967,71765,Ninja Ultra Combo Mech,2022,Ninjago,Core,1104,4.4
1167,28114,891837,Nya,2018,Ninjago,Magazine Gift,6,4.0
194,5365,7896,Straight and Curved Rails,2006,City,Trains,16,3.6
1161,27738,891731,Zane,2017,Ninjago,Magazine Gift,5,3.8
597,28404,60223,Harvester Transport,2019,City,Great Vehicles,358,4.1
348,24997,30422,Kai's Mini Dragon,2016,Ninjago,Skybound,39,3.3
541,26789,60163,Coast Guard Starter Set,2017,City,Coast Guard,76,3.5
983,30251,71721,Skull Sorcerer's Dragon,2020,Ninjago,Master of the Mountain,1016,4.3
352,26927,30426,Stealthy Swamp Airboat,2017,Ninjago,The Hands of Time,38,3.6
547,26788,60169,Cargo Terminal,2017,City,Cargo,740,4.1
5,8287,2115,Bonezai,2011,Ninjago,Spinners,21,3.4
310,24094,30292,Jay NanoMech,2015,Ninjago,Tournament of Elements,54,3.8
1096,29869,122005,Tyrannosaurus Rex,2020,Jurassic World,Magazine Gift,65,4.1
669,31344,60297,Demolition Stunt Bike,2021,City,Stuntz,12,3.8
842,9884,70502,Cole's Earth Driller,2013,Ninjago,The Final Battle,171,3.6
881,27784,70644,Golden Dragon Master,2018,Ninjago,Dragon Masters,92,3.5
1163,27897,891833,Jay,2018,Ninjago,Magazine Gift,9,4.0
554,27694,60176,Wild River Escape,2018,City,Mountain Police,126,3.7
291,8649,30083,Dragon Fight,2011,Ninjago,Pilot Season,31,3.4
138,4786,7281,T-Junction & Curved Road Plates,2005,City,General,2,3.7
171,6445,7726,Coast Guard Truck with Speed Boat,2008,City,Coast Guard,361,3.8
936,24544,70732,City of Stiix,2015,Ninjago,Possession,1069,4.5
215,5683,7992,Container Stacker,2007,City,Harbour,218,3.8
68,8936,4431,Ambulance,2012,City,Medical,199,4.1
883,27774,70646,Jay - Dragon Master,2018,Ninjago,Dragon Masters,92,3.4
449,23824,60068,Crooks' Hideout,2015,City,Swamp Police,473,3.8
184,6975,7747,Wind Turbine Transport,2009,City,Town,444,4.3
197,5226,7899,Police Boat,2006,City,Police,199,4.0
453,23809,60072,Demolition Starter Set,2015,City,Construction,85,3.7
919,30248,70685,Spinjitzu Burst - Cole,2020,Ninjago,Spinjitzu Burst,48,3.6
30,8301,2519,Skeleton Bowling,2011,Ninjago,Pilot Season,371,3.7
1166,28037,891836,Scooter,2018,Ninjago,Magazine Gift,10,3.7
