,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,name,rgb,is_trans
131,131,131,131,131,1005,Trans-Fire Yellow,FBE890,t
132,132,132,132,132,1006,Trans-Light Royal Blue,B4D4F7,t
133,133,133,133,133,1007,Reddish Lilac,8E5597,f
134,134,134,134,134,1008,Vintage Blue,039CBD,f
135,135,135,135,135,1009,Vintage Green,1E601E,f
136,136,136,136,136,1010,Vintage Red,CA1F08,f
137,137,137,137,137,1011,Vintage Yellow,F3C305,f
138,138,138,138,138,1012,Fabuland Orange,EF9121,f
139,139,139,139,139,1013,Modulex White,F4F4F4,f
140,140,140,140,140,1014,Modulex Light Bluish Gray,AfB5C7,f
141,141,141,141,141,1015,Modulex Light Gray,9C9C9C,f
142,142,142,142,142,1016,Modulex Charcoal Gray,595D60,f
143,143,143,143,143,1017,Modulex Tile Gray,6B5A5A,f
144,144,144,144,144,1018,Modulex Black,4D4C52,f
145,145,145,145,145,1019,Modulex Tile Brown,330000,f
146,146,146,146,146,1020,Modulex Terracotta,5C5030,f
147,147,147,147,147,1021,Modulex Brown,907450,f
148,148,148,148,148,1022,Modulex Buff,DEC69C,f
149,149,149,149,149,1023,Modulex Red,B52C20,f
150,150,150,150,150,1024,Modulex Pink Red,F45C40,f
151,151,151,151,151,1025,Modulex Orange,F47B30,f
152,152,152,152,152,1026,Modulex Light Orange,F7AD63,f
153,153,153,153,153,1027,Modulex Light Yellow,FFE371,f
154,154,154,154,154,1028,Modulex Ochre Yellow,FED557,f
155,155,155,155,155,1029,Modulex Lemon,BDC618,f
156,156,156,156,156,1030,Modulex Pastel Green,7DB538,f
157,157,157,157,157,1031,Modulex Olive Green,7C9051,f
158,158,158,158,158,1032,Modulex Aqua Green,27867E,f
159,159,159,159,159,1033,Modulex Teal Blue,467083,f
160,160,160,160,160,1034,Modulex Tile Blue,0057A6,f
161,161,161,161,161,1035,Modulex Medium Blue,61AFFF,f
162,162,162,162,162,1036,Modulex Pastel Blue,68AECE,f
163,163,163,163,163,1037,Modulex Violet,BD7D85,f
164,164,164,164,164,1038,Modulex Pink,F785B1,f
165,165,165,165,165,1039,Modulex Clear,FFFFFF,f
166,166,166,166,166,1040,Modulex Foil Dark Gray,595D60,f
167,167,167,167,167,1041,Modulex Foil Light Gray,9C9C9C,f
168,168,168,168,168,1042,Modulex Foil Dark Green,006400,f
169,169,169,169,169,1043,Modulex Foil Light Green,7DB538,f
170,170,170,170,170,1044,Modulex Foil Dark Blue,0057A6,f
171,171,171,171,171,1045,Modulex Foil Light Blue,68AECE,f
172,172,172,172,172,1046,Modulex Foil Violet,4B0082,f
173,173,173,173,173,1047,Modulex Foil Red,8B0000,f
174,174,174,174,174,1048,Modulex Foil Yellow,FED557,f
175,175,175,175,175,1049,Modulex Foil Orange,F7AD63,f
176,176,176,176,176,1050,Coral,FF698F,f
177,177,177,177,177,1051,Pastel Blue,5AC4DA,f
178,178,178,178,178,1052,Glitter Trans-Orange,F08F1C,t
179,179,179,179,179,1053,Trans-Blue Opal,68BCC5,t
180,180,180,180,180,1054,Trans-Medium Reddish Violet Opal,CE1D9B,t
181,181,181,181,181,1055,Trans-Clear Opal,FCFCFC,t
182,182,182,182,182,1056,Trans-Brown Opal,583927,t
183,183,183,183,183,1057,Trans-Light Bright Green,C9E788,t
184,184,184,184,184,1058,Trans-Light Green,94E5AB,t
185,185,185,185,185,1059,Trans-Purple Opal,8320B7,t
186,186,186,186,186,1060,Trans-Green Opal,84B68D,t
187,187,187,187,187,1061,Trans-Dark Blue Opal,0020A0,t
188,188,188,188,188,1062,Vibrant Yellow,EBD800,f
189,189,189,189,189,1063,Metallic Copper,B46A00,f
190,190,190,190,190,1064,Fabuland Red,FF8014,f
191,191,191,191,191,1065,Reddish Gold,AC8247,f
192,192,192,192,192,1066,Curry,DD982E,f
193,193,193,193,193,1067,Dark Nougat,AD6140,f
194,194,194,194,194,1068,Reddish Orange,EE5434,f
195,195,195,195,195,1069,Pearl Red,D60026,f
196,196,196,196,196,1070,Pearl Blue,0059A3,f
197,197,197,197,197,1071,Pearl Green,008E3C,f
198,198,198,198,198,1072,Pearl Brown,57392C,f
199,199,199,199,199,1073,Pearl Black,0A1327,f
200,200,200,200,200,1074,Duplo Blue,009ECE,f
201,201,201,201,201,1075,Duplo Medium Blue,3E95B6,f
202,202,202,202,202,1076,Duplo Lime,FFF230,f
203,203,203,203,203,1077,Fabuland Lime,78FC78,f
204,204,204,204,204,1078,Duplo Medium Green,468A5F,f
205,205,205,205,205,1079,Duplo Light Green,60BA76,f
206,206,206,206,206,1080,Light Tan,F3C988,f
207,207,207,207,207,1081,Rust Orange,872B17,f
208,208,208,208,208,1082,Clikits Pink,FE78B0,f
209,209,209,209,209,1083,Two-tone Copper,945148,f
210,210,210,210,210,1084,Two-tone Gold,AB673A,f
211,211,211,211,211,1085,Two-tone Silver,737271,f
212,212,212,212,212,1086,Pearl Lime,6A7944,f
213,213,213,213,213,1087,Duplo Pink,FF879C,f
214,214,214,214,214,1088,Medium Brown,755945,f
215,215,215,215,215,1089,Warm Tan,CCA373,f
216,216,216,216,216,9999,[No Color/Any Color],05131D,f
