,id,name,parent_id
244,475,Western,
245,478,X-Pod,
246,480,Znap,
247,481,Dino,
248,494,Friends,
249,497,Books,
250,498,Technic,497.0
251,500,Clikits,
252,501,Gear,
253,502,Games,
254,503,Key Chain,501.0
255,504,Duplo,
256,505,Basic Set,504.0
257,506,Cars,504.0
258,507,Educational and Dacta,
259,509,Adventurers,507.0
260,510,Boat,507.0
261,511,Building Set with People,507.0
262,512,Castle,507.0
263,513,Classic,507.0
264,514,Creator,507.0
265,515,Dinosaurs,507.0
266,516,Duplo and Explore,507.0
267,517,Learning,507.0
268,518,Mindstorms,507.0
269,519,NXT,518.0
270,520,RCX,518.0
271,521,WeDo,518.0
272,523,Samsonite,507.0
273,524,Service Packs,507.0
274,525,Technic,524.0
275,526,Soft Bricks,507.0
276,527,Space,507.0
277,528,Supplemental,507.0
278,529,Technic,507.0
279,530,Control Lab,529.0
280,531,eLAB,529.0
281,532,Supplemental,529.0
282,533,Town,507.0
283,534,Universal Building Set,507.0
284,535,Collectible Minifigures,
285,536,Series 1 Minifigures,535.0
286,537,Series 2 Minifigures,535.0
287,538,Series 3 Minifigures,535.0
288,539,Series 4 Minifigures,535.0
289,540,Series 5 Minifigures,535.0
290,541,Series 6 Minifigures,535.0
291,542,Series 7 Minifigures,535.0
292,543,Series 8 Minifigures,535.0
293,544,Series 9 Minifigures,535.0
294,545,Series 10 Minifigures,535.0
295,546,Team GB,535.0
296,547,Series 11 Minifigures,535.0
297,548,Series 12 Minifigures,535.0
298,549,The LEGO Movie,535.0
299,550,The Simpsons Series 1,535.0
300,551,Series 13 Minifigures,535.0
301,552,Series 14 Minifigures,535.0
302,553,The Simpsons Series 2,535.0
303,554,Series 15 Minifigures,535.0
304,555,Disney Series 1,535.0
305,556,Series 16 Minifigures,535.0
306,557,DFB Minifigures,535.0
307,558,Monster Fighters,
308,559,Value Packs,
309,560,Universe,
310,561,The Hobbit and Lord of the Rings,
311,562,The Hobbit,561.0
312,566,The Lord of the Rings,561.0
313,570,Teenage Mutant Ninja Turtles,
314,571,Legends of Chima,
315,572,Speedorz,571.0
316,573,Constraction,571.0
317,575,The Lone Ranger,
318,576,LEGO Ideas and CUUSOO,
319,577,Minecraft,
320,578,The LEGO Movie,
321,579,Disney Princess,
322,580,Mixels,
323,590,Fusion,
324,591,Juniors,
325,592,DC Comics Super Heroes,591.0
326,593,Disney Princess,591.0
327,595,Friends,591.0
328,596,Marvel Super Heroes,591.0
329,597,Ninjago,591.0
330,598,Promotional,
331,599,LEGO Exclusive,
332,600,Elves,
333,601,Speed Champions,
334,602,Jurassic World,
335,603,Scooby-Doo,
336,604,Dimensions,
337,605,Nexo Knights,
338,606,Angry Birds,
339,607,Ghostbusters,
340,608,Disney,
341,609,The LEGO Batman Movie Series 1,535.0
342,610,Brickheadz,
343,611,Series 17 Minifigures,535.0
344,614,Jungle,52.0
345,615,Cars,591.0
346,616,Ninjago The Movie,435.0
347,617,DC Super Hero Girls,
348,618,Ninjago The Movie,535.0
349,619,Cities of Wonders,408.0
350,620,Jurassic World: Fallen Kingdom,591.0
351,621,Classic,
352,622,Series 18 Minifigures,535.0
353,625,Unikitty!,
354,626,Bob the Builder,504.0
355,627,Disney Planes,504.0
356,628,Dora the Explorer,504.0
357,629,Miles From Tomorrowland,504.0
358,630,Spiderman,504.0
359,631,Thomas & Friends,504.0
360,632,Town,504.0
361,633,Toy Story,504.0
362,634,Trains,504.0
363,635,Winnie the Pooh,504.0
364,636,My Town,632.0
365,638,Jake and the Never Land Pirates,504.0
366,639,Sofia the First,504.0
367,640,Disney Princess,504.0
368,641,Disney's Mickey Mouse,504.0
369,646,Xtra,
370,647,Castle,504.0
371,648,Doc McStuffins,504.0
372,650,Legoville,632.0
373,651,Pirates,504.0
374,652,Playhouse,504.0
375,653,DC Comics,504.0
376,654,The Powerpuff Girls,
377,655,Powered Up,438.0
378,656,Harry Potter and Fantastic Beasts Series 1,535.0
379,657,Action Wheelers,504.0
380,658,Dino,504.0
381,659,Dolls,504.0
382,660,Little Forest Friends,504.0
